# Selection   : patch(inlet)
# Faces       : 376
# Area        : 3.835388e-01
# Time        	areaAverage(p)	areaAverage(U)
82            	2.229177e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
83            	2.300642e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
84            	2.320864e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
85            	1.927243e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
86            	1.933646e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
87            	1.816274e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
88            	1.689626e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
89            	1.561535e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
90            	1.449600e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
91            	1.455614e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
92            	1.305968e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
93            	1.292103e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
94            	1.293598e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
95            	1.284073e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
96            	1.312343e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
97            	1.372588e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
98            	1.594266e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
99            	1.595351e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
100           	1.490389e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
101           	1.491813e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
102           	1.432363e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
103           	1.436916e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
104           	1.340107e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
105           	1.342523e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
106           	1.198678e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
107           	1.149037e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
108           	1.167384e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
109           	1.113945e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
110           	1.113072e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
111           	1.059972e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
112           	1.041206e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
113           	1.013135e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
114           	1.013616e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
115           	1.017676e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
116           	1.038007e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
117           	1.046338e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
118           	1.049987e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
119           	1.094201e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
120           	1.097097e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
121           	1.076804e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
122           	1.065429e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
123           	1.047208e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
124           	1.035503e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
125           	1.020600e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
126           	1.007445e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
127           	9.892094e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
128           	9.885923e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
129           	9.547190e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
130           	9.371638e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
131           	9.144160e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
132           	9.138486e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
133           	9.134857e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
134           	8.770769e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
135           	8.763347e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
136           	8.759131e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
137           	8.756374e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
138           	8.520218e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
139           	8.520693e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
140           	8.492664e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
141           	8.448756e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
142           	8.365340e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
143           	8.253598e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
144           	8.175885e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
145           	8.222873e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
146           	8.198421e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
147           	8.187161e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
148           	8.185946e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
149           	8.136265e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
150           	8.106384e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
151           	8.094247e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
152           	8.094327e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
153           	8.084509e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
154           	7.988047e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
155           	7.903028e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
156           	7.904042e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
157           	7.905991e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
158           	7.908288e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
159           	7.739176e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
160           	7.746798e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
161           	7.757032e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
162           	7.771458e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
