# Selection   : patch(inlet)
# Faces       : 376
# Area        : 3.835388e-01
# Time        	areaAverage(p)	areaAverage(U)
3.9           	1.760694e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
3.95          	1.743109e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4             	1.726092e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4.05          	1.709241e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4.1           	1.691844e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4.15          	1.675194e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4.2           	1.658374e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4.25          	1.641769e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4.3           	1.625339e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4.35          	1.608740e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4.4           	1.592374e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4.45          	1.576039e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4.5           	1.560244e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4.55          	1.544027e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4.6           	1.528286e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4.65          	1.512367e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4.7           	1.496676e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4.75          	1.481344e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4.8           	1.465888e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4.85          	1.450526e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4.9           	1.435028e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
4.95          	1.420263e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
5             	1.404968e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
5.05          	1.390060e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
5.1           	1.375641e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
5.15          	1.360645e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
5.2           	1.346170e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
5.25          	1.331734e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
5.3           	1.317473e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
5.35          	1.303138e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
5.4           	1.289160e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
5.45          	1.275046e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
5.5           	1.261131e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
5.55          	1.247420e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
5.6           	1.233824e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
5.65          	1.220020e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
5.7           	1.206849e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
5.75          	1.193191e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
5.8           	1.180204e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
5.85          	1.166913e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
5.95          	1.203682e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
6.05          	1.166245e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
6.15          	1.134538e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
6.25          	1.104327e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
6.35          	1.075601e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
6.45          	1.047589e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
6.55          	1.020849e-03	(0.000000e+00 0.000000e+00 -5.706577e-03)
6.65          	9.949070e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
6.75          	9.698451e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
6.85          	9.453916e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
6.95          	9.216148e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
7.05          	8.987223e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
7.15          	8.763092e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
7.25          	8.546403e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
7.35          	8.333511e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
7.45          	8.127369e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
7.55          	7.925692e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
7.65          	7.728073e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
7.75          	7.535598e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
7.85          	7.350217e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
7.95          	7.164247e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
8.05          	6.985670e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
8.15          	6.812477e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
8.25          	6.638973e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
8.35          	6.473657e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
8.45          	6.309222e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
8.55          	6.150946e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
8.65          	5.993420e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
8.75          	5.840832e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
8.85          	5.692837e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
8.95          	5.546665e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
9.05          	5.404088e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
9.15          	5.265341e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
9.25          	5.128341e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
9.35          	4.996341e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
9.45          	4.865710e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
9.55          	4.737922e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
9.65          	4.614960e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
9.75          	4.493274e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
9.85          	4.375471e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
9.95          	4.260461e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
10.05         	4.145324e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
10.15         	4.037606e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
10.25         	3.927181e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
10.35         	3.823084e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
10.45         	3.720714e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
10.55         	3.619667e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
