# Selection   : patch(inlet)
# Faces       : 376
# Area        : 3.835388e-01
# Time        	areaAverage(p)	areaAverage(U)
7.8           	9.168062e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
7.9           	8.996863e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
8             	8.830138e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
8.1           	8.671116e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
8.2           	8.504141e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
8.3           	8.349861e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
8.4           	8.198811e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
8.5           	8.057726e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
8.6           	7.909161e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
8.7           	7.766566e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
8.8           	7.628857e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
8.9           	7.505784e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
9             	7.380303e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
9.1           	7.233349e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
9.2           	7.131974e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
9.3           	7.000722e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
9.4           	6.897731e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
9.5           	6.771837e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
9.6           	6.676641e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
9.7           	6.555975e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
9.8           	6.471183e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
9.9           	6.356736e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
10            	6.264477e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
10.1          	6.169597e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
10.2          	6.070746e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
10.3          	6.003681e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
10.4          	5.888084e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
10.5          	5.813420e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
10.6          	5.749206e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
10.7          	5.645253e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
10.8          	5.586233e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
10.9          	5.494037e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
11            	5.425346e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
11.1          	5.368532e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
11.2          	5.275831e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
11.3          	5.223747e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
11.4          	5.174567e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
11.5          	5.090171e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
11.6          	5.031224e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
11.7          	4.980237e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
11.8          	4.929352e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
11.9          	4.849886e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
12            	4.810890e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
12.1          	4.770729e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
12.2          	4.692734e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
12.3          	4.669102e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
12.4          	4.606008e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
12.5          	4.556934e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
12.6          	4.535369e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
12.7          	4.462239e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
12.8          	4.444958e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
12.9          	4.395337e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
13            	4.350155e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
13.1          	4.316889e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
13.2          	4.265619e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
13.3          	4.254452e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
13.4          	4.207180e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
13.5          	4.171419e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
13.6          	4.137366e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
13.7          	4.114363e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
13.8          	4.074527e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
13.9          	4.054491e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
14            	4.018916e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
14.1          	3.990191e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
14.2          	3.966517e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
14.3          	3.943556e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
14.4          	3.910625e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
14.5          	3.892298e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
14.6          	3.867092e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
14.7          	3.837542e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
14.8          	3.820916e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
14.9          	3.796913e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
15            	3.782277e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
15.1          	3.751819e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
15.2          	3.743669e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
15.3          	3.721224e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
15.4          	3.703407e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
15.5          	3.682063e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
15.6          	3.666409e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
15.7          	3.654606e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
15.8          	3.634056e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
15.9          	3.611877e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
16            	3.606088e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
16.1          	3.597904e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
16.2          	3.575407e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
16.3          	3.559115e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
16.4          	3.550775e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
16.5          	3.540546e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
16.6          	3.530059e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
16.7          	3.511293e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
16.8          	3.502121e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
16.9          	3.490997e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
17            	3.483561e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
17.1          	3.471182e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
17.2          	3.459143e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
17.3          	3.450915e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
17.4          	3.440119e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
17.5          	3.434635e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
17.6          	3.425093e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
17.7          	3.417079e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
17.8          	3.409241e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
17.9          	3.400976e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
18            	3.393567e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
18.1          	3.386517e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
18.2          	3.380309e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
18.3          	3.372143e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
18.4          	3.366437e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
18.5          	3.362449e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
18.6          	3.356139e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
18.7          	3.350306e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
18.8          	3.341727e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
18.9          	3.333516e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
19            	3.332968e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
19.1          	3.324650e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
19.2          	3.321484e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
19.3          	3.318140e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
19.4          	3.313488e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
19.5          	3.305474e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
19.6          	3.303141e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
19.7          	3.302705e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
19.8          	3.295914e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
19.9          	3.289894e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
20            	3.288931e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
20.1          	3.285675e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
20.2          	3.279341e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
20.3          	3.278480e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
20.4          	3.275816e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
20.5          	3.269554e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
20.6          	3.268591e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
20.7          	3.266204e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
20.8          	3.260938e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
20.9          	3.259915e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
21            	3.257807e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
21.1          	3.253181e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
21.2          	3.251925e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
21.3          	3.250280e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
21.4          	3.245617e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
21.5          	3.245008e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
21.6          	3.243294e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
21.7          	3.238398e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
21.8          	3.237883e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
21.9          	3.237037e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
22            	3.235036e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
22.1          	3.232182e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
22.2          	3.228747e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
22.3          	3.228582e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
22.4          	3.227716e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
22.5          	3.226286e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
22.6          	3.221863e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
22.7          	3.221297e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
22.8          	3.220708e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
22.9          	3.219758e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
23            	3.217175e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
23.1          	3.215687e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
