# Selection   : patch(inlet)
# Faces       : 376
# Area        : 3.835388e-01
# Time        	areaAverage(p)	areaAverage(U)
82            	6.557954e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
83            	1.316215e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
84            	1.581680e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
85            	1.572288e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
86            	1.633427e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
87            	1.637895e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
88            	1.644081e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
89            	1.647573e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
90            	1.522556e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
91            	1.468329e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
92            	1.492272e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
93            	1.426918e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
94            	1.371777e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
95            	1.387747e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
96            	1.297744e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
97            	1.239776e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
98            	1.258793e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
99            	1.176530e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
100           	1.148347e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
101           	1.158109e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
102           	1.114102e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
103           	1.095308e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
104           	1.095535e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
105           	1.094965e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
106           	1.047178e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
107           	1.048149e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
108           	1.050177e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
109           	1.054303e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
110           	1.127594e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
111           	1.158106e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
112           	1.160598e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
113           	1.211004e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
114           	1.192581e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
115           	1.194223e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
116           	1.188768e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
117           	1.179547e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
118           	1.164909e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
119           	1.128371e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
120           	1.126026e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
121           	1.125312e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
122           	1.124247e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
123           	1.105796e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
124           	1.072464e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
125           	1.061789e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
126           	1.062795e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
127           	9.945479e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
128           	9.947373e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
129           	9.843222e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
130           	9.741118e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
131           	9.718791e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
132           	9.682674e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
133           	1.013287e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
134           	1.019739e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
135           	1.023789e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
136           	1.026259e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
137           	1.027565e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
138           	1.017373e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
139           	1.017667e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
140           	1.004501e+01	(0.000000e+00 0.000000e+00 -2.027337e+00)
141           	9.725520e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
142           	9.736563e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
143           	9.747819e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
144           	9.596292e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
145           	9.597220e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
146           	9.596473e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
147           	9.563346e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
148           	9.449784e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
149           	9.335675e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
150           	9.172458e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
151           	9.179322e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
152           	9.187118e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
153           	9.169012e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
154           	9.157345e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
155           	9.142899e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
156           	9.108354e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
157           	9.062377e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
158           	9.013264e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
159           	8.962735e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
160           	8.930155e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
161           	8.893501e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
162           	8.862961e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
163           	8.840466e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
164           	8.822601e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
165           	8.783691e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
166           	8.777516e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
167           	8.771099e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
168           	8.756703e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
169           	8.757701e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
170           	8.758332e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
171           	8.753783e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
172           	8.718303e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
173           	8.720102e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
174           	8.717612e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
175           	8.699202e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
176           	8.671994e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
177           	8.644018e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
178           	8.618619e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
179           	8.595562e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
180           	8.574018e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
181           	8.554235e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
182           	8.535198e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
183           	8.516750e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
184           	8.498857e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
185           	8.481418e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
186           	8.464027e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
187           	8.447812e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
188           	8.432170e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
189           	8.349230e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
190           	8.373239e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
191           	8.384491e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
192           	8.389901e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
193           	8.384419e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
194           	8.358920e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
195           	8.351029e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
196           	8.342865e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
197           	8.330919e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
198           	8.317415e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
199           	8.304064e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
200           	8.291675e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
201           	8.280370e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
202           	8.269798e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
203           	8.259400e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
204           	8.249414e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
205           	8.239586e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
206           	8.228787e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
207           	8.192490e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
208           	8.186719e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
209           	8.178149e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
210           	8.157174e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
211           	8.148831e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
212           	8.143407e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
213           	8.142565e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
214           	8.142099e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
215           	8.130809e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
216           	8.108578e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
217           	8.089194e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
