-3.3359044964795905,-6.2211833341508305
-3.102077954495746,-6.431749968063728
-3.001660118351799,-6.446684341900191
-3.270770102028991,-5.927697060987542
-3.216136586009992,-6.078220128672652
-2.982542416736256,-6.403820276050922
-3.015805441128021,-5.97165610959444
-2.891888286674593,-5.859126018958993
-2.9810653576130703,-5.690502127002423
-2.7297836015957064,-5.49890627147718
-2.4213908985837898,-5.531726112993605
-2.589818372357526,-5.686163735510965
-2.524945761222818,-5.417591945691795
-2.5210107277173193,-5.237448084400079
