# Selection   : patch(inlet)
# Faces       : 376
# Area        : 3.835388e-01
# Time        	areaAverage(p)	areaAverage(U)
566           	6.649040e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
567           	6.609271e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
568           	6.607967e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
569           	6.605349e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
570           	6.570168e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
571           	6.527523e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
572           	6.504560e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
573           	6.498725e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
574           	6.490701e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
575           	6.493157e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
576           	6.499570e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
577           	6.508545e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
578           	6.512660e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
579           	6.512858e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
580           	6.514372e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
581           	6.517141e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
582           	6.527042e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
583           	6.529994e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
584           	6.532090e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
585           	6.534291e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
586           	6.538072e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
587           	6.549909e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
588           	6.579053e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
589           	6.598732e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
590           	6.617816e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
591           	6.732576e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
592           	6.765405e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
593           	6.795473e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
594           	6.814445e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
595           	6.816833e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
596           	6.840102e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
597           	6.841979e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
598           	6.841887e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
599           	6.816091e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
600           	6.815234e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
601           	6.804208e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
602           	6.798823e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
603           	6.720857e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
604           	6.724939e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
605           	6.729554e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
606           	6.736150e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
607           	6.722538e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
608           	6.655736e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
609           	6.657094e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
610           	6.626463e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
611           	6.614974e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
612           	6.603958e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
613           	6.576372e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
614           	6.574555e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
615           	6.567657e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
616           	6.566938e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
617           	6.563366e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
618           	6.570750e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
619           	6.570938e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
620           	6.631654e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
621           	6.629391e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
622           	6.627383e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
623           	6.622091e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
624           	6.626104e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
625           	6.647615e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
626           	6.656094e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
627           	6.690719e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
628           	6.692805e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
629           	6.695345e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
630           	6.696065e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
631           	6.699879e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
632           	6.702424e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
633           	6.703210e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
634           	6.709564e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
635           	6.712612e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
636           	6.712998e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
637           	6.714562e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
638           	6.712122e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
639           	6.712902e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
640           	6.709532e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
641           	6.709402e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
642           	6.704518e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
643           	6.702585e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
644           	6.691409e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
